MUNICIPALITY OF PORTMORE,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: NAGGO HEAD (11),,,,,,,,,
26 26A NAGGO HEAD PRIMARY SCHOOL,0,0,31,27,0,0,58,22.7%,255
26 26B NAGGO HEAD PRIMARY SCHOOL,0,0,23,31,0,3,57,22.4%,254
27 27A NAGGO HEAD PRIMARY SCHOOL,0,1,60,27,1,2,91,30.7%,296
27 27B NAGGO HEAD PRIMARY SCHOOL,2,1,51,30,0,0,84,28.2%,298
28 28A NAGGO HEAD PRIMARY SCHOOL,0,2,34,18,1,7,62,31.2%,199
28 28B NAGGO HEAD PRIMARY SCHOOL,0,0,39,24,0,1,64,31.7%,202
28 28C NAGGO HEAD PRIMARY SCHOOL,0,1,39,20,0,2,62,30.2%,205
29 29A NAGGO HEAD PRIMARY SCHOOL,1,1,43,41,0,1,87,34.7%,251
29 29B NAGGO HEAD PRIMARY SCHOOL,0,1,51,28,0,3,83,33.5%,248
30 30A NAGGO HEAD PRIMARY SCHOOL,0,3,64,52,1,5,125,50.2%,249
30 30B NAGGO HEAD PRIMARY SCHOOL,0,2,56,25,0,5,88,35.1%,251
31 31 NAGGO HEAD PRIMARY SCHOOL,0,4,41,47,0,4,96,47.1%,204
32 32 NAGGO HEAD INFANT SCHOOL,0,1,31,31,0,1,64,23.5%,272
33 33A NAGGO HEAD INFANT SCHOOL,2,2,29,35,0,1,69,39.2%,176
33 33B NAGGO HEAD INFANT SCHOOL,0,0,16,41,0,1,58,33.5%,173
34 34 NAGGO HEAD INFANT SCHOOL,1,0,25,41,0,0,67,40.9%,164
35 35 NAGGO HEAD INFANT SCHOOL,0,0,11,40,1,1,53,28.2%,188
36 36 NAGGO HEAD INFANT SCHOOL,0,0,30,26,0,1,57,19.3%,296
37 37 NAGGO HEAD INFANT SCHOOL,0,1,27,25,0,0,53,22.4%,237
38 38 NAGGO HEAD INFANT SCHOOL,1,0,11,35,0,3,50,24.2%,207
160 160 NAGGO HEAD PRIMARY SCHOOL,0,0,40,29,0,2,71,26.1%,272
161 161 NAGGO HEAD PRIMARY SCHOOL,2,1,51,14,1,3,72,31.0%,232
162 162 NAGGO HEAD PRIMARY SCHOOL,0,0,63,26,0,4,93,34.6%,269
163 163A NAGGO HEAD PRIMARY SCHOOL,0,5,41,20,0,2,68,43.9%,155
163 163B NAGGO HEAD PRIMARY SCHOOL,0,1,30,42,0,2,75,47.5%,158
164 164 NAGGO HEAD INFANT SCHOOL,0,0,11,37,0,1,49,27.7%,177
ELECTORAL DIVISION TOTALS26  PSs,9,2 7,948,812,5,5 5,"1,856",31.5%,"5,888"
MUNICIPALITY OF PORTMORE,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: BRAETON (12),,,,,,,,,
24 24A BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,0,43,11,0,0,54,32.3%,167
24 24B BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,1,48,11,0,1,61,37.0%,165
25 25 BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,0,10,29,0,0,39,22.2%,176
39 39A MARINE PARK COMMUNITY CENTRE,0,0,9,28,0,0,37,21.9%,169
39 39B MARINE PARK COMMUNITY CENTRE,0,0,22,43,2,0,67,39.6%,169
40 40 MARLIN BASIC SCHOOL,0,1,26,31,0,0,58,20.1%,289
41 41 MARLIN BASIC SCHOOL,0,2,15,15,0,0,32,20.5%,156
42 42A MARLIN BASIC SCHOOL,1,0,24,26,2,0,53,29.3%,181
42 42B MARLIN BASIC SCHOOL,0,0,21,23,0,1,45,24.9%,181
43 43 MARLIN BASIC SCHOOL,0,0,16,25,1,1,43,17.7%,243
44 44 BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,0,21,16,0,0,37,16.0%,231
45 45A BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,0,16,24,0,0,40,23.0%,174
45 45B BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,0,18,15,0,0,33,18.9%,175
46 46A AINTREE BASIC SCHOOL,0,0,8,47,0,1,56,28.9%,194
46 46B AINTREE BASIC SCHOOL,0,0,5,47,0,1,53,27.6%,192
47 47 AINTREE BASIC SCHOOL,0,0,25,28,0,1,54,21.1%,256
48 48 BRAETON ALL AGE AND JUNIOR HIGH SCHOOL,0,1,17,60,0,0,78,26.4%,296
158 158A BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,1,33,22,0,0,56,26.8%,209
158 158B BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,19,36,0,3,58,27.5%,211
159 159 BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,27,33,0,0,60,23.4%,256
166 166A BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,19,49,0,0,68,35.2%,193
166 166B BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,12,28,0,0,40,20.8%,192
167 167 BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,18,39,0,0,57,29.1%,196
168 168 BRAETON ALL AGE AND JUNIOR HIGHSCHOOL,0,0,16,28,0,1,45,18.5%,243
169 169 MARLIN BASIC SCHOOL,0,1,18,16,0,0,35,17.7%,198
ELECTORAL DIVISION TOTALS25  PSs,1,7,506,730,5,10,"1,259",24.6%,"5,112"
MUNICIPALITY OF PORTMORE,,,,,,,,
POLLING STATION LOCATION,,,,,,,,
ELECTORAL DIVISION: GREATER PORTMORE NORTH (13),,,,,,,,
103 103 BELMONT PARK PRIMARY SCHOOL 0,0,30,20,1,1,52,25.9%,201
104 104 BELMONT PARK PRIMARY SCHOOL 0,0,16,28,0,0,44,34.4%,128
105 105 BELMONT PARK PRIMARY SCHOOL 2,0,22,27,1,0,52,31.7%,164
106 106 BELMONT PARK PRIMARY SCHOOL 1,1,18,11,0,1,32,20.3%,158
107 107 BELMONT PARK PRIMARY SCHOOL 0,0,12,3,1,0,16,17.8%,90
108 108 BELMONT PARK PRIMARY SCHOOL 0,1,7,14,0,0,22,18.5%,119
109 109 BELMONT PARK PRIMARY SCHOOL 0,0,14,18,0,0,32,21.6%,148
110 110 BELMONT PARK PRIMARY SCHOOL 0,0,13,15,0,0,28,19.9%,141
111 111 BELMONT PARK PRIMARY SCHOOL 0,0,19,13,0,0,32,19.9%,161
112 112 BELMONT PARK PRIMARY SCHOOL 0,0,12,14,0,0,26,20.8%,125
113 113 BELMONT PARK PRIMARY SCHOOL 0,0,21,12,1,0,34,20.5%,166
114 114 BELMONT PARK PRIMARY SCHOOL 0,0,9,6,0,0,15,15.6%,96
115 115 ASCOT PRIMARY SCHOOL 0,0,10,2,0,0,12,13.3%,90
116 116 ASCOT PRIMARY SCHOOL 0,0,16,7,0,0,23,21.1%,109
117 117 ASCOT PRIMARY SCHOOL 0,0,11,14,0,0,25,18.8%,133
118 118 ASCOT PRIMARY SCHOOL 0,0,9,6,0,0,15,13.8%,109
119 119 SILVERSTONE BASIC SCHOOL 1,0,10,1,0,0,12,16.4%,73
120 120 SILVERSTONE BASIC SCHOOL 0,0,6,3,0,0,9,23.7%,38
121 121 SILVERSTONE BASIC SCHOOL 0,0,33,46,0,1,80,67.2%,119
122 122 SILVERSTONE BASIC SCHOOL 0,0,7,10,0,0,17,44.7%,38
123 123 SILVERSTONE BASIC SCHOOL 0,0,3,1,0,0,4,7.1%,56
124 124 SILVERSTONE BASIC SCHOOL 0,0,8,8,0,0,16,16.8%,95
125 125 ASCOT PRIMARY SCHOOL 0,0,4,15,1,2,22,22.4%,98
126 126 ASCOT PRIMARY SCHOOL 1,0,11,11,0,0,23,15.6%,147
127 127 ASCOT PRIMARY SCHOOL 0,0,22,11,1,1,35,22.2%,158
128 128 ASCOT PRIMARY SCHOOL 0,0,7,14,0,0,21,21.4%,98
129 129 ASCOT PRIMARY SCHOOL 0,3,15,11,1,0,30,21.3%,141
130 130 ASCOT PRIMARY SCHOOL 0,0,14,13,1,0,28,17.3%,162
131 131 ASCOT PRIMARY SCHOOL 0,0,19,5,0,0,24,14.8%,162
132 132 ASCOT PRIMARY SCHOOL 0,0,7,9,0,0,16,13.9%,115
133 133 ASCOT PRIMARY SCHOOL 0,0,13,11,0,0,24,23.1%,104
134 134 ASCOT PRIMARY SCHOOL 0,0,15,20,1,0,36,21.8%,165
179 179 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,6,13,0,0,19,19.4%,98
180 180 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,11,19,0,1,31,24.6%,126
181 181 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,7,8,0,1,16,21.9%,73
182 182 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,9,17,0,1,27,25.7%,105
MUNICIPALITY OF PORTMORE,,,,,,,,
POLLING STATION LOCATION,,,,,,,,
ELECTORAL DIVISION: GREATER PORTMORE NORTH (13),,,,,,,,
183 183 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,4,12,0,0,16,17.8%,90
184 184 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,9,14,0,0,23,26.1%,88
185 185 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,9,14,0,0,23,20.9%,110
186 186 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,3,8,0,0,11,15.1%,73
187 187 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,7,8,0,1,16,28.6%,56
188 188 ASCOT COMPREHENSIVE HIGH SCHOOL 0,1,3,17,0,0,21,21.6%,97
189 189 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,10,16,0,2,28,23.1%,121
190 190 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,11,6,0,0,17,16.8%,101
191 191 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,11,10,0,0,21,20.4%,103
192 192 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,18,14,0,0,32,27.1%,118
193 193 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,16,24,0,0,40,28.6%,140
194 194 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,7,9,0,0,16,18.6%,86
195 195 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,4,9,0,0,13,18.6%,70
196 196 ASCOT COMPREHENSIVE HIGH SCHOOL 0,0,7,9,0,0,16,18.4%,87
ELECTORAL DIVISION TOTALS50  PSs 5,6,585,626,9,1 2,"1,243",22.0%,"5,649"
MUNICIPALITY OF PORTMORE,,,,,,,,
POLLING STATION LOCATION,,,,,,,,
ELECTORAL DIVISION: GREATER PORTMORE EAST (14),,,,,,,,
62 62 GREATER PORTMORE BASIC SCHOOL 0,1,9,8,0,1,19,18.1%,105
63 63 GREATER PORTMORE BASIC SCHOOL 0,0,3,12,0,0,15,17.6%,85
64 64 GREATER PORTMORE BASIC SCHOOL 0,2,8,14,0,0,24,32.4%,74
65 65 GREATER PORTMORE BASIC SCHOOL 1,3,10,11,0,0,25,27.8%,90
