CONSTITUENCY: CLARENDON NORTH WESTERN (46),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: SPALDING (1),,,,,,,,,
1 1 SILENT HILL COMMUNITY CENTRE,17,1,0,0,0,0,18,9.0,201
2 2 MORAVIA PRIMARY SCHOOL,84,0,0,0,0,0,84,22.0,381
3 3 TOP ALSTON PRIMARY SCHOOL,68,1,0,0,0,0,69,28.0,246
4 4 ALSTON SECONDARY SCHOOL,60,0,0,0,0,0,60,48.4,124
5 5 ALSTON SECONDARY SCHOOL,116,2,0,0,0,0,118,36.1,327
6 6 ALSTON SECONDARY SCHOOL,28,1,0,0,0,1,30,19.1,157
7 7 BAILLIESTON PRIMARY SCHOOL,155,1,0,0,0,1,157,43.3,363
8 8 MORAVIA PRIMARY SCHOOL,55,0,0,0,0,0,55,22.9,240
9 9 SILENT HILL COMMUNITY CENTRE,6,1,0,0,0,0,7,5.6,124
10 10 SILENT HILL COMMUNITY CENTRE,13,3,0,0,0,0,16,4.7,342
11 11 ROBERT GREEN PREMISES,76,0,0,0,0,1,77,37.0,208
12 12 ROBERT GREEN PREMISES,61,0,0,0,0,0,61,34.3,178
13 13 ROBERT GREEN PREMISES,76,2,0,0,0,0,78,41.7,187
14 14 MABLE FRECKLETON PREMISES,35,0,0,0,0,0,35,23.2,151
15 15 BAILLIESTON PRIMARY SCHOOL,22,2,0,0,0,0,24,13.6,176
16 16 MABLE FRECKLETON PREMISES,40,0,0,0,0,0,40,17.6,227
17 17 SPALDING PRIMARY SCHOOL,39,8,0,0,0,1,48,16.6,289
18 18 ANGLICAN CHURCH HALL,53,6,0,0,0,0,59,19.9,296
19 19 SPALDING PRIMARY SCHOOL,7,1,0,0,0,0,8,5.6,143
20 20 SPALDING PRIMARY SCHOOL,39,11,0,0,0,1,51,18.4,277
21 21 KENNY GRAHAM PREMISES,17,2,0,0,0,0,19,13.3,143
22 22 BAILLIESTON PRIMARY SCHOOL,27,2,0,0,0,0,29,22.5,129
23 23 SANGUINETTI PRIMARY SCHOOL,28,38,0,0,0,0,66,18.5,356
24 24 SANGUINETTI PRIMARY SCHOOL,35,31,0,0,0,0,66,19.3,342
25 25 KENNY GRAHAM PREMISES,43,12,0,0,0,0,55,21.2,259
ELECTORAL DIVISION TOTALS 25 PSs,"1,200",125,0,0,0,5,"1,330",22.7,"5,866"
CONSTITUENCY: CLARENDON NORTH WESTERN (46),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: RITCHIES (2),,,,,,,,,
26 26 RITCHIES PRIMARY SCHOOL,84,10,0,0,0,2,96,29.0,331
27 27 RITCHIES PRIMARY SCHOOL,68,12,0,0,0,0,80,28.2,284
28 28 RITCHIES PRIMARY SCHOOL,51,10,0,0,0,0,61,38.9,157
29 29 BELCARRES BASIC SCHOOL,98,2,0,0,0,0,100,30.2,331
30 30 CUMBERLAND ALL AGE SCHOOL,27,22,0,0,0,0,49,28.5,172
31 31 CUMBERLAND ALL AGE SCHOOL,66,53,0,0,0,0,119,37.1,321
32 32 CUMBERLAND ALL AGE SCHOOL,27,28,0,0,0,0,55,26.1,211
33 33 GARLOGIE ALL AGE & JUNIOR HIGH,25,9,0,0,0,0,34,15.3,222
34 34 SUNBERRY PRIMARY SCHOOL,107,2,0,0,0,1,110,37.3,295
