CONSTITUENCY: PORTLAND WESTERN (19),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: ST MARGARET'S BAY (6),,,,,,,,,
1 1 MAIDSTONE ALL AGE SCHOOL,0,4,11,0,0,0,15,68.2,22
2 2 MOUNT PLEASANT ALL AGE SCHOOL,0,18,77,0,0,0,95,69.9,136
3 3 ST MARGARET'S BAY ALL AGE SCHOOL,1,80,110,0,0,0,191,64.5,296
4 4 ST MARGARET'S BAY ALL AGE SCHOOL,0,96,145,0,0,0,241,71.1,339
5 5 MOUNT PLEASANT ALL AGE SCHOOL,0,49,223,0,0,0,272,71.8,379
6 6 SHREWSBURY HEALTH CENTRE,0,32,21,0,0,0,53,82.8,64
7 7 HOPE BAY ALL AGE SCHOOL,0,13,71,0,0,1,85,75.9,112
8 8 SHREWSBURY HEALTH CENTRE,0,140,97,0,0,0,237,76.5,310
9 9 FRUITFUL VALE ALL AGE SCHOOL,0,3,33,0,0,0,36,85.7,42
10 10 FRUITFUL VALE ALL AGE SCHOOL,0,81,48,0,0,0,129,74.1,174
11 11 FRUITFUL VALE ALL AGE SCHOOL,0,86,119,0,0,1,206,80.5,256
12 12 FRUITFUL VALE ALL AGE SCHOOL,1,88,155,0,0,3,247,77.4,319
13 13 ROCK HALL ALL AGE SCHOOL,0,45,39,0,0,0,84,75.7,111
14 14 ROCK HALL ALL AGE SCHOOL,0,43,48,0,0,0,91,85.8,106
15 15 MOUNT PLEASANT ALL AGE SCHOOL,1,110,142,0,0,0,253,69.1,366
16 16 MAIDSTONE ALL AGE SCHOOL,1,58,28,0,0,1,88,72.1,122
17 17 ROCK HALL ALL AGE SCHOOL,0,54,47,0,0,1,102,71.8,142
18 18A COOPERS HILL ALL AGE SCHOOL,0,37,31,0,0,0,68,70.8,96
"18 18B NEW HOPE  BASIC SCHOOL, BERRYDALE",0,44,12,0,0,1,57,71.3,80
19 19 COOPERS HILL ALL AGE SCHOOL,1,27,132,0,0,0,160,80.8,198
20 20A MAIDSTONE ALL AGE SCHOOL,0,34,31,0,0,0,65,87.8,74
20 20B FRUITFUL VALE ALL AGE SCHOOL,0,18,53,0,0,1,72,78.3,92
21 21 COOPERS HILL ALL AGE SCHOOL,0,14,17,0,0,0,31,77.5,40
22 22 FRUITFUL VALE ALL AGE SCHOOL,0,30,96,0,0,0,126,78.3,161
ELECTORAL DIVISION TOTALS 24 PSs,5,"1,204","1,786",0,0,9,"3,004",74.4,"4,037"
CONSTITUENCY: PORTLAND WESTERN (19),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: HOPE BAY (7),,,,,,,,,
24 24 CLAVERTY COTTAGE ALL AGE SCHOOL,0,12,66,0,0,0,78,84.8,92
26 26 BYBROOK ALL AGE SCHOOL,0,57,41,0,0,0,98,70.5,139
27 27 BYBROOK ALL AGE SCHOOL,0,27,46,0,0,2,75,78.9,95
"28 28 NADINE MILLER PREMISES, SKIBO P.O.",0,58,74,0,0,0,132,83.5,158
"29 29 CHEPSTOWE COMMUNITY CENTRE, SKIBO",0,32,88,0,0,0,120,71.4,168
30 30 BYBROOK ALL AGE SCHOOL,0,38,43,0,0,1,82,67.8,121
"31 31 CHEPSTOWE COMMUNITY CENTRE, SKIBO",0,38,89,0,0,1,128,68.1,188
33 33 CLAVERTY COTTAGE ALL AGE SCHOOL,1,61,53,0,0,4,119,76.3,156
35 35 SHIRLEY CASTLE ALL AGE SCHOOL,0,60,76,0,0,3,139,82.2,169
36 36 MT HERMAN PRIMARY & JUNIOR HIGH,1,53,60,0,0,0,114,73.1,156
37 37 BLOOMFIELD ALL AGE SCHOOL,0,98,53,0,0,0,151,82.5,183
38 38 BLOOMFIELD ALL AGE SCHOOL,0,12,58,0,0,0,70,66.7,105
39 39 MT HERMAN PRIMARY & JUNIOR HIGH,0,50,35,0,0,0,85,73.3,116
40 40 BLOOMFIELD ALL AGE SCHOOL,1,43,31,0,0,0,75,77.3,97
41 41 MT HERMAN PRIMARY & JUNIOR HIGH,1,70,74,0,0,1,146,78.5,186
42 42 MT HERMAN PRIMARY & JUNIOR HIGH,0,55,53,0,0,0,108,75.5,143
43 43 HOPE BAY ALL AGE SCHOOL,0,43,108,0,0,1,152,70.7,215
44 44 HOPE BAY ALL AGE SCHOOL,0,21,106,0,0,1,128,81.5,157
45 45 HOPE BAY ALL AGE SCHOOL,0,21,83,0,0,0,104,73.8,141
46 46 HOPE BAY ALL AGE SCHOOL,2,42,79,0,0,1,124,76.5,162
47 47 HOPE BAY ALL AGE SCHOOL,0,115,155,0,0,0,270,69.4,389
48 48 HOPE BAY ALL AGE SCHOOL,0,34,113,0,0,0,147,69.7,211
49 49 BLACK HILL ALL AGE SCHOOL,0,73,203,0,0,0,276,76.0,363
