CONSTITUENCY: ST. ANN NORTH EASTERN (24),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: EXCHANGE (5),,,,,,,,,
1 1A EXCHANGE ALL AGE SCHOOL,5,31,,,,0,36,17.8,202
1 1B EXCHANGE ALL AGE SCHOOL,2,21,,,,0,23,11.3,203
2 2 EXCHANGE ALL AGE SCHOOL,2,39,,,,1,42,11.7,360
3 3 EXCHANGE ALL AGE SCHOOL,11,88,,,,0,99,27.8,356
4 4 EXCHANGE ALL AGE SCHOOL,5,29,,,,0,34,11.3,302
5 5 EXCHANGE ALL AGE SCHOOL,9,55,,,,0,64,22.0,291
6 6 EXCHANGE ALL AGE SCHOOL,18,52,,,,1,71,20.1,354
7 7 EXCHANGE ALL AGE SCHOOL,3,16,,,,1,20,8.1,248
8 8 ELTHAM COMMUNITY CENTRE,14,13,,,,0,27,9.3,290
9 9 ELTHAM COMMUNITY CENTRE,28,13,,,,0,41,14.5,283
10 10 ELTHAM COMMUNITY CENTRE,3,12,,,,0,15,9.1,164
11 11A LESTER MARSH PAVILLION,2,28,,,,0,30,15.4,195
11 11B LESTER MARSH PAVILLION,1,31,,,,0,32,16.3,196
12 12 LESTER MARSH PAVILLION,8,42,,,,0,50,18.6,269
13 13 LESTER MARSH PAVILLION,3,13,,,,0,16,14.3,112
14 14 LESTER MARSH PAVILLION,6,34,,,,3,43,14.8,290
15 15 BURIAL SCHEME HALL,3,13,,,,0,16,8.6,187
16 16 BURIAL SCHEME HALL,4,45,,,,2,51,24.9,205
17 17 BURIAL SCHEME HALL,3,51,,,,0,54,19.6,275
18 18 GREAT POND BASIC SCHOOL,1,58,,,,0,59,16.8,351
19 19 GREAT POND BASIC SCHOOL,2,27,,,,0,29,9.0,321
20 20 SALVATION ARMY CHURCH,1,5,,,,0,6,4.8,124
21 21 SALMON MEMORIAL BASIC SCH.,2,22,,,,0,24,9.3,259
22 22A SALMON MEMORIAL BASIC SCH.,13,12,,,,0,25,11.1,225
22 22B SALMON MEMORIAL BASIC SCH.,8,12,,,,0,20,8.9,225
23 23 MILE END COMMUNITY CENTRE,8,24,,,,0,32,9.5,336
