POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 CALVARY PREPARATORY SCHOOL,57,58,,,,0,115,39.66%,290,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
2 2 CALVARY PREPARATORY SCHOOL,42,37,,,,2,81,36.82%,220,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
3 3 CALVARY PREPARATORY SCHOOL,43,79,,,,2,124,38.63%,321,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
4 4 CALVARY PREPARATORY SCHOOL,64,45,,,,4,113,39.79%,284,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
5 5 CALVARY PREPARATORY SCHOOL,67,45,,,,1,113,37.17%,304,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
6 6 CALVARY PREPARATORY SCHOOL,73,50,,,,1,124,41.47%,299,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
7 7 CALVARY PREPARATORY SCHOOL,49,42,,,,0,91,30.64%,297,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
8 8 CALVARY PREPARATORY SCHOOL,62,45,,,,0,107,37.94%,282,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
9 9 ST JUDES PRIMARY SCHOOL,22,58,,,,0,80,31.87%,251,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
10 10 ST JUDES PRIMARY SCHOOL,40,62,,,,3,105,35.59%,295,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
11 11 ST JUDES PRIMARY SCHOOL,52,48,,,,1,101,37.83%,267,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
12 12A ST JUDES PRIMARY SCHOOL,22,78,,,,0,100,47.39%,211,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
12 12B ST JUDES PRIMARY SCHOOL,22,66,,,,2,90,42.45%,212,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
13 13 ST JUDES PRIMARY SCHOOL,14,47,,,,2,63,37.28%,169,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
14 14 DELIVERANCE CENTRE,40,86,,,,2,128,40.89%,313,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
15 15 DELIVERANCE CENTRE,16,89,,,,9,114,51.82%,220,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
16 16 DELIVERANCE CENTRE,43,72,,,,2,117,37.50%,312,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
17 17 DELIVERANCE CENTRE,33,98,,,,0,131,41.85%,313,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
18 18 FOUR SQUARE CHURCH,39,49,,,,3,91,29.93%,304,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
19 19 CALVARY PREPARATORY SCHOOL,52,58,,,,1,111,37.76%,294,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
20 20 CALVARY PREPARATORY SCHOOL,60,69,,,,3,132,35.20%,375,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
21 21 CALVARY PREPARATORY SCHOOL,53,41,,,,0,94,36.58%,257,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
22 22 FOUR SQUARE CHURCH,53,63,,,,2,118,38.44%,307,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
23 23 FOUR SQUARE CHURCH,89,60,,,,1,150,38.36%,391,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
24 24 DUNROBIN PRIMARY SCHOOL,41,27,,,,1,69,33.01%,209,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
25 25 DUNROBIN PRIMARY SCHOOL,76,64,,,,0,140,37.84%,370,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
26 26 DUNROBIN PRIMARY SCHOOL,23,45,,,,1,69,41.32%,167,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
27 27A DUNROBIN PRIMARY SCHOOL,114,30,,,,4,148,59.68%,248,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
27 27B DUNROBIN PRIMARY SCHOOL,102,32,,,,4,138,55.65%,248,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
28 28 DUNROBIN PRIMARY SCHOOL,63,122,,,,1,186,50.82%,366,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
29 29 HALF WAY TREE PRIMARY SCHOOL,36,46,,,,1,83,35.32%,235,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
30 30 HALF WAY TREE PRIMARY SCHOOL,69,52,,,,0,121,41.02%,295,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
31 31 HALF WAY TREE PRIMARY SCHOOL,36,116,,,,1,153,52.22%,293,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
32 32A DUNROBIN PRIMARY SCHOOL,23,102,,,,2,127,59.62%,213,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
32 32B DUNROBIN PRIMARY SCHOOL,17,102,,,,3,122,57.28%,213,ST. ANDREW EAST CENTRAL (7),CASSIA PARK (17),
33 33 DUNROBIN PRIMARY SCHOOL,35,49,,,,1,85,38.81%,219,ST. ANDREW EAST CENTRAL (7),,CASSIA PARK (17)
34 34 FOUR SQUARE CHURCH,44,73,,,,1,118,38.06%,310,ST. ANDREW EAST CENTRAL (7),,
35 35 HALF WAY TREE PRIMARY SCHOOL,35,31,,,,1,67,28.63%,234,ST. ANDREW EAST CENTRAL (7),,
36 36 HALF WAY TREE PRIMARY SCHOOL,39,59,,,,2,100,37.17%,269,ST. ANDREW EAST CENTRAL (7),,
37 37 HALF WAY TREE PRIMARY SCHOOL,40,36,,,,4,80,34.93%,229,ST. ANDREW EAST CENTRAL (7),,
38 38 FOUR SQUARE CHURCH,33,51,,,,1,85,38.81%,219,ST. ANDREW EAST CENTRAL (7),,
EPM 39 39 TARRANT BAPTIST CHURCH HALL,85,81,,,,3,169,62.59%,270,ST. ANDREW EAST CENTRAL (7),,
40 40 TARRANT BAPTIST CHURCH HALL,40,23,,,,0,63,34.05%,185,ST. ANDREW EAST CENTRAL (7),,
41 41A DELIVERANCE CENTRE,19,76,,,,0,95,39.58%,240,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
41 41B DELIVERANCE CENTRE,22,67,,,,2,91,37.76%,241,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
42 42 TARRANT BAPTIST CHURCH HALL,35,81,,,,2,118,33.05%,357,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
43 43A TARRANT BAPTIST CHURCH HALL,30,81,,,,3,114,45.78%,249,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
43 43B TARRANT BAPTIST CHURCH HALL,18,102,,,,1,121,48.40%,250,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
44 44A BETHANY BASIC SCHOOL,60,25,,,,2,87,41.43%,210,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
44 44B BETHANY BASIC SCHOOL,76,18,,,,5,99,47.14%,210,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
45 45 BETHANY BASIC SCHOOL,148,26,,,,4,178,44.95%,396,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
46 46 BETHANY BASIC SCHOOL,46,42,,,,6,94,31.86%,295,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
47 47 BETHANY BASIC SCHOOL,20,43,,,,5,68,24.91%,273,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
48 48 BETHANY BASIC SCHOOL,78,70,,,,3,151,41.14%,367,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
49 49 ST JUDES PRIMARY SCHOOL,35,50,,,,0,85,31.48%,270,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
50 50 ST JUDES PRIMARY SCHOOL,38,87,,,,2,127,50.20%,253,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
51 51 ST JUDES PRIMARY SCHOOL,43,22,,,,0,65,23.55%,276,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
52 52A ST JUDES PRIMARY SCHOOL,109,6,,,,1,116,49.15%,236,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
52 52B ST JUDES PRIMARY SCHOOL,107,15,,,,2,124,52.54%,236,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
53 53 ST JUDES PRIMARY SCHOOL,43,21,,,,0,64,31.07%,206,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
54 54 KIDDY CARING BASIC SCHOOL,95,35,,,,3,133,34.37%,387,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
55 55 KIDDY CARING BASIC SCHOOL,98,20,,,,1,119,38.89%,306,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
56 56 KIDDY CARING BASIC SCHOOL,60,33,,,,1,94,35.21%,267,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
57 57 KIDDY CARING BASIC SCHOOL,51,42,,,,2,95,35.98%,264,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
58 58 TRINTY MORAVIAN CHURCH,34,24,,,,1,59,27.44%,215,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
59 59 TRINTY MORAVIAN CHURCH,34,31,,,,0,65,17.43%,373,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
60 60 TRINTY MORAVIAN CHURCH,143,37,,,,2,182,79.82%,228,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
61 61 TRINTY MORAVIAN CHURCH,37,45,,,,2,84,40.38%,208,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
62 62 CHURCH OF THE NAZARENE,45,60,,,,1,106,44.17%,240,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
63 63 CHURCH OF  THE NAZARENE,48,41,,,,0,89,34.36%,259,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
64 64 CHURCH OF  THE NAZARENE,72,60,,,,3,135,34.01%,397,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
65 65 CHURCH OF  THE NAZARENE,30,36,,,,2,68,29.69%,229,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
66 66 TRINTY MORAVIAN CHURCH,29,38,,,,1,68,29.69%,229,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
67 67 TRINTY MORAVIAN CHURCH,32,63,,,,4,99,40.74%,243,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
68 68 BETHANY BASIC SCHOOL,27,11,,,,0,38,29.46%,129,ST. ANDREW EAST CENTRAL (7),HAGLEY PARK (18),
69 69 KINGSWAY HIGH SCHOOL,27,16,,,,0,43,26.88%,160,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
70 70 KINGSWAY HIGH SCHOOL,66,40,,,,2,108,34.62%,312,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
71 71 KINGSWAY HIGH SCHOOL,91,33,,,,9,133,44.04%,302,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
72 72A KINGSWAY HIGH SCHOOL,82,14,,,,5,101,44.69%,226,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
72 72B KINGSWAY HIGH SCHOOL,117,11,,,,1,129,57.08%,226,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
73 73 KINGSWAY HIGH SCHOOL,116,15,,,,1,132,49.25%,268,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
74 74 KINGSWAY HIGH SCHOOL,85,26,,,,2,113,30.29%,373,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
75 75 JOHN MILLS  ALL-AGE SCHOOL,23,8,,,,0,31,29.25%,106,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
76 76 JOHN MILLS ALL-AGE SCHOOL,48,25,,,,0,73,28.85%,253,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
77 77 JOHN MILLS ALL-AGE SCHOOL,92,7,,,,2,101,43.16%,234,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
78 78 MELROSE PRIMARY & JH SCHOOL,46,14,,,,0,60,24.69%,243,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
79 79 MELROSE PRIMARY & JH SCHOOL,67,10,,,,4,81,37.85%,214,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
80 80 MELROSE PRIMARY & JH SCHOOL,58,11,,,,0,69,42.59%,162,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
81 81 MELROSE PRIMARY & JH SCHOOL,103,9,,,,1,113,40.36%,280,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
82 82 MELROSE PRIMARY & JH SCHOOL,55,13,,,,2,70,33.18%,211,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
83 83 MELROSE PRIMARY & JH SCHOOL,79,15,,,,1,95,38.78%,245,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
84 84A MELROSE PRIMARY & JH SCHOOL,96,5,,,,2,103,44.21%,233,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
84 84B MELROSE PRIMARY & JH SCHOOL,95,6,,,,1,102,43.59%,234,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
85 85 GERMAN AUTO SCHOOL,156,11,,,,3,170,42.18%,403,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
86 86 GERMAN AUTO SCHOOL,85,10,,,,0,95,33.10%,287,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
87 87 NORMAN MANLEY HIGH SCHOOL,85,12,,,,0,97,33.56%,289,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
88 88 GERMAN AUTO SCHOOL,70,14,,,,2,86,38.91%,221,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
89 89 NORMAN MANLEY HIGH SCHOOL,85,24,,,,5,114,34.55%,330,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
90 90 GERMAN AUTO SCHOOL,94,19,,,,1,114,35.08%,325,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
91 91 GERMAN AUTO SCHOOL,95,9,,,,2,106,45.69%,232,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
92 92 GERMAN AUTO SCHOOL,81,8,,,,1,90,33.96%,265,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
