CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: WHITFIELD TOWN (20),,,,,,,,,
1 1A LIFE TABERNACLE CHURCH,38,0,,,,0,38,18.36%,207
1 1B LIFE TABERNACLE CHURCH,41,1,,,,0,42,20.19%,208
2 2 PRETORIA ROAD UNITED CHURCH,55,1,,,,0,56,20.59%,272
3 3A PRETORIA ROAD UNITED CHURCH,47,0,,,,1,48,20.43%,235
3 3B PRETORIA ROAD UNITED CHURCH,55,0,,,,1,56,23.73%,236
4 4 LIFE TABERNACLE CHURCH,79,1,,,,2,82,24.19%,339
5 5A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,66,1,,,,1,68,32.69%,208
5 5B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,63,0,,,,0,63,30.14%,209
6 6A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,67,0,,,,1,68,27.87%,244
6 6B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,70,0,,,,1,71,28.98%,245
7 7 WHITFIELD ALL AGE SCHOOL,73,0,,,,2,75,28.41%,264
8 8 WHITFIELD ALL AGE SCHOOL,57,0,,,,1,58,23.39%,248
9 9 WHITFIELD ALL AGE SCHOOL,65,0,,,,5,70,31.53%,222
10 10 WHITFIELD ALL AGE SCHOOL,67,0,,,,0,67,19.82%,338
11 11 WHITFIELD ALL AGE SCHOOL,81,0,,,,0,81,23.08%,351
12 12 WHITFIELD ALL AGE SCHOOL,87,1,,,,0,88,28.66%,307
13 13 WHITFIELD ALL AGE SCHOOL,98,0,,,,2,100,33.78%,296
14 14 WHITFIELD ALL AGE SCHOOL,77,0,,,,0,77,36.49%,211
15 15A WHITFIELD ALL AGE SCHOOL,64,0,,,,0,64,25.40%,252
15 15B WHITFIELD ALL AGE SCHOOL,63,2,,,,2,67,26.48%,253
16 16 WHITFIELD ALL AGE SCHOOL,52,1,,,,1,54,15.88%,340
17 17 WHITFIELD ALL AGE SCHOOL,55,1,,,,0,56,24.14%,232
18 18 WHITFIELD ALL AGE SCHOOL,96,1,,,,5,102,28.90%,353
19 19 WHITFIELD ALL AGE SCHOOL,108,4,,,,4,116,31.18%,372
20 20 CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,101,4,,,,1,106,29.36%,361
21 21 CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,77,1,,,,0,78,37.32%,209
22 22A CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,72,1,,,,1,74,34.26%,216
22 22B CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,75,1,,,,0,76,35.19%,216
23 23 CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,81,1,,,,3,85,21.46%,396
ELECTORAL DIVISION TOTALS 29 PSs,"2,030",22,0,0,0,34,"2,086",26.61%,"7,840"
CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,
POLLING STATION LOCATION,,,,,,
ELECTORAL DIVISION: PAYNE LANDS (21),,,,,,
24 24 ST. PETER CLAVER PRIMARY SCHOOL,84,2,2,88,22.68%,388
25 25A ST. PETER CLAVER PRIMARY SCHOOL,47,1,2,50,22.32%,224
25 25B ST. PETER CLAVER PRIMARY SCHOOL,41,1,1,43,19.11%,225
26 26A ST. PETER CLAVER PRIMARY SCHOOL,32,1,0,33,15.94%,207
26 26B ST. PETER CLAVER PRIMARY SCHOOL,27,0,0,27,12.98%,208
27 27A ST. PETER CLAVER PRIMARY SCHOOL,44,1,0,45,21.13%,213
27 27B ST. PETER CLAVER PRIMARY SCHOOL,45,0,1,46,21.60%,213
28 28 ST. PETER CLAVER PRIMARY SCHOOL,59,1,0,60,17.96%,334
29 29A ST. PETER CLAVER PRIMARY SCHOOL,48,0,0,48,20.87%,230
29 29B ST. PETER CLAVER PRIMARY SCHOOL,52,2,2,56,24.35%,230
30 30 HAILE SELASSIE HIGH SCHOOL,47,0,0,47,13.78%,341
31 31A FAITH EARLY CHILDHOOD SCHOOL,25,0,0,25,12.20%,205
31 31B FAITH EARLY CHILDHOOD SCHOOL,30,0,0,30,14.63%,205
32 32A HAILE SELASSIE HIGH SCHOOL,99,2,0,101,35.69%,283
32 32B HAILE SELASSIE HIGH SCHOOL,83,0,0,83,29.23%,284
33 33 FAITH EARLY CHILDHOOD SCHOOL,32,0,0,32,10.09%,317
34 34A FAITH EARLY CHILDHOOD SCHOOL,23,0,1,24,11.37%,211
34 34B FAITH EARLY CHILDHOOD SCHOOL,26,0,1,27,12.80%,211
35 35 FAITH EARLY CHILDHOOD SCHOOL,43,1,1,45,14.33%,314
36 36 HAILE SELASSIE HIGH SCHOOL,32,0,0,32,22.86%,140
37 37 TAVARES GARDENS PRIMARY SCHOOL,128,1,2,131,45.33%,289
38 38 TAVARES GARDENS PRIMARY SCHOOL,132,0,3,135,40.79%,331
39 39 TAVARES GARDENS PRIMARY SCHOOL,159,0,1,160,42.33%,378
40 40 HAILE SELASSIE HIGH SCHOOL,98,0,2,100,38.02%,263
41 41 HAILE SELASSIE HIGH SCHOOL,116,1,2,119,45.95%,259
42 42 HAILE SELASSIE HIGH SCHOOL,66,2,3,71,30.74%,231
43 43A HAILE SELASSIE HIGH SCHOOL,93,0,1,94,35.47%,265
43 43B HAILE SELASSIE HIGH SCHOOL,74,0,3,77,29.06%,265
44 44A FAITH EARLY CHILDHOOD SCHOOL,56,2,3,61,26.07%,234
44 44B FAITH EARLY CHILDHOOD SCHOOL,57,0,2,59,25.11%,235
CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,
POLLING STATION LOCATION,,,,,,
ELECTORAL DIVISION: GREENWICH TOWN (22),,,,,,
46 46 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,42,1,0,43,14.14%,304
47 47A COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,43,1,2,46,20.63%,223
47 47B COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,54,0,0,54,24.22%,223
48 48 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SC,43,1,1,45,12.43%,362
