POLLING STATION LOCATION,PNP Brown Burke Angela,JLP Hyde Victor Anthony,,,,Ballots Rejected,Total Votes (including rejected ballots),PERCENT (%) Votes,Electors On Official Voters List,CONSTITUENCY: ,ELECTORAL DIVISION: ,
1 1A LIFE TABERNACLE CHURCH,38,0,,,,0,38,18.36%,207,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
1 1B LIFE TABERNACLE CHURCH,41,1,,,,0,42,20.19%,208,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
2 2 PRETORIA ROAD UNITED CHURCH,55,1,,,,0,56,20.59%,272,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
3 3A PRETORIA ROAD UNITED CHURCH,47,0,,,,1,48,20.43%,235,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
3 3B PRETORIA ROAD UNITED CHURCH,55,0,,,,1,56,23.73%,236,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
4 4 LIFE TABERNACLE CHURCH,79,1,,,,2,82,24.19%,339,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
5 5A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,66,1,,,,1,68,32.69%,208,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
5 5B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,63,0,,,,0,63,30.14%,209,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
6 6A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,67,0,,,,1,68,27.87%,244,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
6 6B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,70,0,,,,1,71,28.98%,245,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
7 7 WHITFIELD ALL AGE SCHOOL,73,0,,,,2,75,28.41%,264,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
8 8 WHITFIELD ALL AGE SCHOOL,57,0,,,,1,58,23.39%,248,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
9 9 WHITFIELD ALL AGE SCHOOL,65,0,,,,5,70,31.53%,222,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
10 10 WHITFIELD ALL AGE SCHOOL,67,0,,,,0,67,19.82%,338,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
11 11 WHITFIELD ALL AGE SCHOOL,81,0,,,,0,81,23.08%,351,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
12 12 WHITFIELD ALL AGE SCHOOL,87,1,,,,0,88,28.66%,307,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
13 13 WHITFIELD ALL AGE SCHOOL,98,0,,,,2,100,33.78%,296,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
14 14 WHITFIELD ALL AGE SCHOOL,77,0,,,,0,77,36.49%,211,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
15 15A WHITFIELD ALL AGE SCHOOL,64,0,,,,0,64,25.40%,252,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
15 15B WHITFIELD ALL AGE SCHOOL,63,2,,,,2,67,26.48%,253,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
16 16 WHITFIELD ALL AGE SCHOOL,52,1,,,,1,54,15.88%,340,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
17 17 WHITFIELD ALL AGE SCHOOL,55,1,,,,0,56,24.14%,232,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
18 18 WHITFIELD ALL AGE SCHOOL,96,1,,,,5,102,28.90%,353,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
19 19 WHITFIELD ALL AGE SCHOOL,108,4,,,,4,116,31.18%,372,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
20 20 CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,101,4,,,,1,106,29.36%,361,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
21 21 CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,77,1,,,,0,78,37.32%,209,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
22 22A CARE BEAR EARLY CHILDHOOD DEVELOPMENT CE,72,1,,,,1,74,34.26%,216,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
